DATAFLOW,LOCATION,SUBJECT,SEX,FREQUENCY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE,UNIT_MULT,BASE_PER
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1993,61.43213,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1993,71.33557,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1994,80.50983,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1994,61.3514,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1994,71.09271,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1999,78.96156,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1999,63.28883,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1999,71.23539,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1997,80.29011,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1997,62.45893,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1997,71.51404,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,2000,78.84348,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,2000,63.59119,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,2000,71.31673,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1995,80.17535,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1995,61.54325,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1995,71.00916,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,2003,78.38634,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,2003,64.9776,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,2003,71.75394,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1996,80.21635,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1996,61.89867,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1996,71.19584,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,2009,82.95005,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,2009,71.08789,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,2009,77.07336,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,2005,80.96522,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,2005,67.38581,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,2005,74.24042,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,2008,82.74393,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,2008,70.38536,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,2008,76.62199,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,2001,79.03905,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,2001,64.2708,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,2001,71.74935,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,2002,78.79189,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,2002,64.59364,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,2002,71.7731,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,2006,81.83229,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,2006,69.07604,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,2006,75.52043,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,2007,82.3884,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,2007,69.98445,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,2007,76.24338,A,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1983,82.61941,B,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1986,81.56055,B,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1990,82.15517,B,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,1998,80.85709,B,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,MA,A,2004,79.61859,B,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1983,52.47111,B,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1986,52.8562,B,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1990,56.67868,B,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,1998,63.10088,B,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,FE,A,2004,66.10301,B,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1983,67.48213,B,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1986,67.25266,B,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1990,69.53899,B,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,1998,72.10932,B,PC,0,
OECD:DF_ALFS_POP_LABOUR(1.0),DEU,YT99TLP2_ST,TT,A,2004,72.93507,B,PC,0,
